14:39:33.969 rs [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\Java\jdk1.8.0_131\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;E:\xshell\;E:\app\Administrator\product\11.2.0\dbhome_1\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;E:\python3.6.5\Scripts\;E:\python3.6.5\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\dotnet\;"D:\Java\jdk1.8.0_131\\bin;D:\Java\jdk1.8.0_131\\jre\bin;";D:\Java\jdk1.8.0_131\\bin;D:\Java\library\apache-maven-3.5.4\bin;E:\Go\bin;C:\Program Files (x86)\MySQL\MySQL Fabric 1.5 & MySQL Utilities 1.5\;C:\Program Files (x86)\MySQL\MySQL Fabric 1.5 & MySQL Utilities 1.5\Doctrine extensions for PHP\;C:\Program Files (x86)\VisualSVN\bin;C:\Program Files (x86)\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files\Microsoft SQL Server\140\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files\Microsoft SQL Server\140\DTS\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\Client SDK\ODBC\130\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\140\Tools\Binn\ManagementStudio\;E:\WinSCP\;C:\Program Files\Common Files\Autodesk Shared\;C:\Program Files (x86)\Autodesk\Backburner\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;E:\Git\cmd;E:\TortoiseSVN\bin;E:\phpStudy\php\php-5.4.45;E:\node.js\;D:\Java\groovy-2.5.6\bin;C:\ProgramData\ComposerSetup\bin;E:\Ruby25\bin;C:\Users\Administrator.DESKTOP-GBDTU2S\AppData\Local\Microsoft\WindowsApps;C:\Users\Administrator.DESKTOP-GBDTU2S\AppData\Local\GitHubDesktop\bin;C:\Users\Administrator.DESKTOP-GBDTU2S\go\bin;C:\Users\Administrator.DESKTOP-GBDTU2S\AppData\Local\Microsoft\WindowsApps;C:\Users\Administrator.DESKTOP-GBDTU2S\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\Administrator.DESKTOP-GBDTU2S\AppData\Local\atom\bin;C:\Users\Administrator.DESKTOP-GBDTU2S\AppData\Roaming\npm;C:\Users\Administrator.DESKTOP-GBDTU2S\AppData\Roaming\Composer\vendor\bin;E:\CLion 2018.3.4\bin;;.]
14:39:34.276 rs [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:39:34.276 rs [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 7401 ms
14:39:34.630 rs [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
14:39:34.630 rs [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
14:39:34.630 rs [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
14:39:34.630 rs [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
14:39:34.631 rs [localhost-startStop-1] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
14:39:34.631 rs [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*]
14:39:34.631 rs [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
14:39:34.634 rs [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet statViewServlet mapped to [/monitor/druid/*]
14:39:38.399 rs [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@e77c9c3, org.springframework.security.web.context.SecurityContextPersistenceFilter@1c5c0d2a, org.springframework.security.web.header.HeaderWriterFilter@68abf2ad, org.springframework.security.web.authentication.logout.LogoutFilter@33ea437a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@43ac3b45, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@35cf7e98, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@12ec5e73, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@34f876c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4cc9d672, org.springframework.security.web.session.SessionManagementFilter@5cdd5ff9, org.springframework.security.web.access.ExceptionTranslationFilter@245a90b1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1cda3a6d]
14:39:38.672 rs [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
14:39:39.684 rs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@33063f5b: startup date [Sun May 12 14:39:26 CST 2019]; root of context hierarchy
14:39:39.826 rs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/administration/administration/replace],methods=[GET]}" onto public java.lang.String com.shengxi.rs.controller.administration.AdministrationController.replace()
14:39:39.828 rs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/administration/administration/upload],methods=[GET]}" onto public java.lang.String com.shengxi.rs.controller.administration.AdministrationController.upload()
14:39:39.831 rs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/administration/administration/approval],methods=[GET]}" onto public java.lang.String com.shengxi.rs.controller.administration.AdministrationController.approval(org.springframework.ui.Model,java.lang.String,java.lang.String)
14:39:39.832 rs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/college/college/subordinate],methods=[GET]}" onto public java.lang.String com.shengxi.rs.controller.college.CollegeController.subordinate(org.springframework.ui.Model)
14:39:39.832 rs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/college/college/classBegins],methods=[GET]}" onto public java.lang.String com.shengxi.rs.controller.college.CollegeController.classbegins(org.springframework.ui.Model,java.lang.String,java.lang.String)
14:39:39.833 rs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login/login/],methods=[GET]}" onto public java.lang.String com.shengxi.rs.controller.login.LoginController.login()
14:39:39.833 rs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login/login/judge],methods=[POST]}" onto public java.lang.String com.shengxi.rs.controller.login.LoginController.judge(java.lang.String,java.lang.String,javax.servlet.http.HttpSession)
14:39:39.838 rs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/stu/stu]}" onto public java.lang.String com.shengxi.rs.controller.stu.StuController.test()
14:39:39.839 rs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/stu/stu/search],methods=[GET]}" onto public java.lang.String com.shengxi.rs.controller.stu.StuController.search(org.springframework.ui.Model)
14:39:39.839 rs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/stu/stu/news],methods=[POST]}" onto public java.lang.String com.shengxi.rs.controller.stu.StuController.pnews()
14:39:39.839 rs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/stu/stu/news],methods=[GET]}" onto public java.lang.String com.shengxi.rs.controller.stu.StuController.news(org.springframework.ui.Model,java.lang.String,java.lang.String)
